"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3958","User login with correct email and password","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","1900","User login with wrong email or password","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","1926","User login with wrong email or password","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","2209","User login with wrong email or password","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","1843","Check displaying of empty courses list","LMS system","2026-07-12","passed","2026-07-12","Courses","Courses","",""
"","2557","Registration with correct email, username and password","LMS system","2026-07-12","passed","2026-07-12","Registration","Authentication","",""
"","0","test_logout","tests.pytest","2026-07-12","passed","2026-07-12","TestUserAuthentication","test_markers","",""
"","4058","Create course","LMS system","2026-07-12","passed","2026-07-12","Courses","Courses","",""
"","3343","Create course","LMS system","2026-07-12","passed","2026-07-12","Courses","Courses","",""
"","2351","Check displaying of dashboard page","LMS system","2026-07-12","passed","2026-07-12","Dashboard","Dashboard","",""
"","1770","Navigation from login page to registration page","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","1634","Check displaying of dashboard page","LMS system","2026-07-12","passed","2026-07-12","Dashboard","Dashboard","",""
"","2014","User login with wrong email or password","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","2446","User login with wrong email or password","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","3911","Edit course","LMS system","2026-07-12","passed","2026-07-12","Courses","Courses","",""
"","2361","User login with wrong email or password","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","1626","Navigation from login page to registration page","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","1461","Navigation from login page to registration page","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-07-12","passed","2026-07-12","","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-07-12","passed","2026-07-12","TestUserInterface","test_markers","",""
"","1489","User login with wrong email or password","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","1377","Check displaying of empty courses list","LMS system","2026-07-12","passed","2026-07-12","Courses","Courses","",""
"","3886","User login with correct email and password","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","3258","Create course","LMS system","2026-07-12","passed","2026-07-12","Courses","Courses","",""
"","1707","Check displaying of empty courses list","LMS system","2026-07-12","passed","2026-07-12","Courses","Courses","",""
"","5974","Edit course","LMS system","2026-07-12","passed","2026-07-12","Courses","Courses","",""
"","2037","Registration with correct email, username and password","LMS system","2026-07-12","passed","2026-07-12","Registration","Authentication","",""
"","1932","Registration with correct email, username and password","LMS system","2026-07-12","passed","2026-07-12","Registration","Authentication","",""
"","0","test_smoke_test","tests.pytest","2026-07-12","passed","2026-07-12","","test_markers","",""
"","1762","Check displaying of dashboard page","LMS system","2026-07-12","passed","2026-07-12","Dashboard","Dashboard","",""
"","0","test_login","tests.pytest","2026-07-12","passed","2026-07-12","TestUserAuthentication","test_markers","",""
"","1951","User login with wrong email or password","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","4661","Edit course","LMS system","2026-07-12","passed","2026-07-12","Courses","Courses","",""
"","1713","User login with wrong email or password","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","9843","User login with correct email and password","LMS system","2026-07-12","passed","2026-07-12","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-07-12","passed","2026-07-12","TestUserAuthentication","test_markers","",""
